timestamp,date_from,time_from,target,forecast,forecast_type,relative_distance,model_index,samples_ahead,lower_bound,upper_bound,bin,InSample,OutOfSample,Production,MAE
2021-01-20T00:00:00.000Z,2021-01-19,23:00:00.0,9850.0,,InSample,D+1,,1,,,S+1:S+24,,,,
2021-01-20T01:00:00.000Z,2021-01-19,23:00:00.0,9446.0,,InSample,D+1,,2,,,S+1:S+24,,,,
2021-01-20T02:00:00.000Z,2021-01-19,23:00:00.0,9176.0,,InSample,D+1,,3,,,S+1:S+24,,,,
2021-01-20T03:00:00.000Z,2021-01-19,23:00:00.0,9179.0,,InSample,D+1,,4,,,S+1:S+24,,,,
2021-01-20T04:00:00.000Z,2021-01-19,23:00:00.0,9346.0,,InSample,D+1,,5,,,S+1:S+24,,,,
2021-01-20T05:00:00.000Z,2021-01-19,23:00:00.0,10187.0,,InSample,D+1,,6,,,S+1:S+24,,,,
2021-01-20T06:00:00.000Z,2021-01-19,23:00:00.0,11201.0,,InSample,D+1,,7,,,S+1:S+24,,,,
2021-01-20T07:00:00.000Z,2021-01-19,23:00:00.0,11764.0,,InSample,D+1,,8,,,S+1:S+24,,,,
2021-01-20T08:00:00.000Z,2021-01-19,23:00:00.0,11872.0,,InSample,D+1,,9,,,S+1:S+24,,,,
2021-01-20T09:00:00.000Z,2021-01-19,23:00:00.0,12064.0,,InSample,D+1,,10,,,S+1:S+24,,,,
2021-01-20T10:00:00.000Z,2021-01-19,23:00:00.0,11858.0,,InSample,D+1,,11,,,S+1:S+24,,,,
2021-01-20T11:00:00.000Z,2021-01-19,23:00:00.0,11894.0,,InSample,D+1,,12,,,S+1:S+24,,,,
2021-01-20T12:00:00.000Z,2021-01-19,23:00:00.0,11785.0,,InSample,D+1,,13,,,S+1:S+24,,,,
2021-01-20T13:00:00.000Z,2021-01-19,23:00:00.0,11721.0,,InSample,D+1,,14,,,S+1:S+24,,,,
2021-01-20T14:00:00.000Z,2021-01-19,23:00:00.0,11588.0,,InSample,D+1,,15,,,S+1:S+24,,,,
2021-01-20T15:00:00.000Z,2021-01-19,23:00:00.0,11595.0,,InSample,D+1,,16,,,S+1:S+24,,,,
2021-01-20T16:00:00.000Z,2021-01-19,23:00:00.0,11591.0,,InSample,D+1,,17,,,S+1:S+24,,,,
2021-01-20T17:00:00.000Z,2021-01-19,23:00:00.0,12305.0,,InSample,D+1,,18,,,S+1:S+24,,,,
2021-01-20T18:00:00.000Z,2021-01-19,23:00:00.0,11919.0,,InSample,D+1,,19,,,S+1:S+24,,,,
2021-01-20T19:00:00.000Z,2021-01-19,23:00:00.0,11461.0,,InSample,D+1,,20,,,S+1:S+24,,,,
2021-01-20T20:00:00.000Z,2021-01-19,23:00:00.0,10751.0,,InSample,D+1,,21,,,S+1:S+24,,,,
2021-01-20T21:00:00.000Z,2021-01-19,23:00:00.0,10335.0,,InSample,D+1,,22,,,S+1:S+24,,,,
2021-01-20T22:00:00.000Z,2021-01-19,23:00:00.0,10410.0,,InSample,D+1,,23,,,S+1:S+24,,,,
2021-01-20T23:00:00.000Z,2021-01-19,23:00:00.0,9955.0,,InSample,D+1,,24,,,S+1:S+24,,,,
2021-01-21T00:00:00.000Z,2021-01-20,23:00:00.0,9732.0,,InSample,D+1,,1,,,S+1:S+24,,,,
2021-01-21T01:00:00.000Z,2021-01-20,23:00:00.0,9190.0,,InSample,D+1,,2,,,S+1:S+24,,,,
2021-01-21T02:00:00.000Z,2021-01-20,23:00:00.0,8986.0,,InSample,D+1,,3,,,S+1:S+24,,,,
2021-01-21T03:00:00.000Z,2021-01-20,23:00:00.0,8742.0,,InSample,D+1,,4,,,S+1:S+24,,,,
2021-01-21T04:00:00.000Z,2021-01-20,23:00:00.0,9201.0,,InSample,D+1,,5,,,S+1:S+24,,,,
2021-01-21T05:00:00.000Z,2021-01-20,23:00:00.0,10182.0,,InSample,D+1,,6,,,S+1:S+24,,,,
2021-01-21T06:00:00.000Z,2021-01-20,23:00:00.0,11138.0,,InSample,D+1,,7,,,S+1:S+24,,,,
2021-01-21T07:00:00.000Z,2021-01-20,23:00:00.0,11850.0,,InSample,D+1,,8,,,S+1:S+24,,,,
2021-01-21T08:00:00.000Z,2021-01-20,23:00:00.0,11919.0,,InSample,D+1,,9,,,S+1:S+24,,,,
2021-01-21T09:00:00.000Z,2021-01-20,23:00:00.0,11731.0,,InSample,D+1,,10,,,S+1:S+24,,,,
2021-01-21T10:00:00.000Z,2021-01-20,23:00:00.0,11874.0,,InSample,D+1,,11,,,S+1:S+24,,,,
2021-01-21T11:00:00.000Z,2021-01-20,23:00:00.0,11910.0,,InSample,D+1,,12,,,S+1:S+24,,,,
2021-01-21T12:00:00.000Z,2021-01-20,23:00:00.0,11835.0,,InSample,D+1,,13,,,S+1:S+24,,,,
2021-01-21T13:00:00.000Z,2021-01-20,23:00:00.0,11579.0,,InSample,D+1,,14,,,S+1:S+24,,,,
2021-01-21T14:00:00.000Z,2021-01-20,23:00:00.0,11796.0,,InSample,D+1,,15,,,S+1:S+24,,,,
2021-01-21T15:00:00.000Z,2021-01-20,23:00:00.0,11692.0,,InSample,D+1,,16,,,S+1:S+24,,,,
2021-01-21T16:00:00.000Z,2021-01-20,23:00:00.0,11845.0,,InSample,D+1,,17,,,S+1:S+24,,,,
2021-01-21T17:00:00.000Z,2021-01-20,23:00:00.0,12602.0,,InSample,D+1,,18,,,S+1:S+24,,,,
2021-01-21T18:00:00.000Z,2021-01-20,23:00:00.0,12537.0,,InSample,D+1,,19,,,S+1:S+24,,,,
