date_time,traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Squall,Thunderstorm
2016-01-01 00:00:00,1513,1,265.94,0,0,90,0,0,0,0,1,0,0,0,0,0,0
2016-01-01 01:00:00,1550,1,266,0,0,90,0,0,0,0,0,0,0,0,1,0,0
2016-01-01 03:00:00,719,1,266.01,0,0,90,0,0,0,0,0,0,0,0,1,0,0
2016-01-01 04:00:00,533,1,264.8,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-01 05:00:00,586,1,264.38,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-01 06:00:00,809,1,263.99,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-01 07:00:00,882,1,264.16,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-01 08:00:00,1077,1,264.8,0,0,75,0,1,0,0,0,0,0,0,0,0,0
2016-01-01 09:00:00,1574,1,265.76,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-01 10:00:00,2059,1,267.61,0,0,40,0,1,0,0,0,0,0,0,0,0,0
2016-01-01 12:00:00,3206,1,269.43,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-01 13:00:00,3498,1,271.77,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-01 14:00:00,3453,1,271.98,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-01 16:00:00,3359,1,271.93,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-01 18:00:00,2899,1,269.4,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-01 20:00:00,2134,1,267.65,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-01 21:00:00,1845,1,266.52,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-01 23:00:00,1280,1,265.51,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 01:00:00,633,0,264.87,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 02:00:00,655,0,263.58,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 03:00:00,659,0,263.76,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 04:00:00,378,0,263.24,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 05:00:00,610,0,263.09,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 06:00:00,1043,0,263.14,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 07:00:00,1440,0,263.39,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 08:00:00,1880,0,264.19,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 09:00:00,2715,0,264.99,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 10:00:00,3153,0,267.69,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 12:00:00,4236,0,269.82,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 13:00:00,4426,0,272.08,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 15:00:00,4513,0,272.57,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 17:00:00,4498,0,271.62,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 19:00:00,3148,0,269.96,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 21:00:00,2649,0,269.35,0,0,5,1,0,0,0,0,0,0,0,0,0,0
2016-01-02 22:00:00,2552,0,269.15,0,0,75,0,1,0,0,0,0,0,0,0,0,0
2016-01-02 23:00:00,1830,0,269.56,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 00:00:00,931,0,269.89,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 01:00:00,633,0,270.26,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 03:00:00,659,0,270.24,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 05:00:00,606,0,270.21,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 07:00:00,1347,0,270.11,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 09:00:00,2484,0,270.12,0,0,75,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 11:00:00,3286,0,270.68,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 12:00:00,3755,0,270.96,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 14:00:00,4369,0,270.98,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 16:00:00,4052,0,271.12,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-03 18:00:00,3278,0,270.21,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-03 20:00:00,1813,0,268.65,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-03 22:00:00,1415,0,267.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-04 00:00:00,476,0,265.36,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-04 02:00:00,270,0,263.51,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-04 03:00:00,410,0,261.64,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2016-01-04 05:00:00,2672,0,260.54,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2016-01-04 06:00:00,5532,0,259.91,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2016-01-04 07:00:00,6234,0,259.25,0,0,90,0,0,0,0,0,1,0,0,0,0,0
2016-01-04 08:00:00,5670,0,258.93,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2016-01-04 09:00:00,4637,0,261.23,0,0,75,0,0,0,1,0,0,0,0,0,0,0
2016-01-04 10:00:00,4057,0,263.24,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2016-01-04 11:00:00,4235,0,265.88,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-04 13:00:00,4667,0,268.44,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-04 15:00:00,5618,0,268.68,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-04 17:00:00,6053,0,267.14,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-04 19:00:00,2834,0,265.74,0,0,5,1,0,0,0,0,0,0,0,0,0,0
2016-01-04 21:00:00,1902,0,265.93,0,0,90,0,0,0,0,0,1,0,0,0,0,0
2016-01-04 22:00:00,1389,0,266.26,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-05 00:00:00,489,0,266.21,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-05 01:00:00,351,0,266.66,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-05 03:00:00,309,0,266.87,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-05 05:00:00,2692,0,268.43,0,0,90,0,1,0,0,0,0,0,0,0,0,0
2016-01-05 06:00:00,5734,0,268.11,0,0,40,0,1,0,0,0,0,0,0,0,0,0
2016-01-05 07:00:00,6525,0,267.86,0,0,40,0,1,0,0,0,0,0,0,0,0,0
2016-01-05 08:00:00,5762,0,267.61,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-05 09:00:00,4836,0,268.29,0,0,1,1,0,0,0,0,0,0,0,0,0,0
