,date_time,quality,predicted,sample
0,2017-05-03 00:05:00,283.0,284.5347639490422,1
1,2017-05-03 01:05:00,248.0,268.9887775822384,1
2,2017-05-03 02:05:00,253.0,273.29355829774516,1
3,2017-05-03 03:05:00,263.0,272.53244283511305,1
4,2017-05-03 04:05:00,279.0,277.8645827773887,1
5,2017-05-03 05:05:00,327.0,319.91037223407113,1
6,2017-05-03 06:05:00,380.0,381.9265298017435,1
7,2017-05-03 07:05:00,395.0,412.45505274348795,1
8,2017-05-03 08:05:00,415.0,412.1933583082314,1
9,2017-05-03 09:05:00,437.0,419.02396743342246,1
10,2017-05-03 10:05:00,448.0,448.72870873292186,1
11,2017-05-03 11:05:00,455.0,455.0046503417873,1
12,2017-05-03 12:05:00,461.0,464.7738085146909,1
13,2017-05-03 13:05:00,472.0,475.35723156664324,1
14,2017-05-03 14:05:00,478.0,479.21564314918015,1
15,2017-05-03 15:05:00,490.0,481.69779870522717,1
16,2017-05-03 16:05:00,489.0,476.60437148145786,1
17,2017-05-03 17:05:00,489.0,480.6667034668849,1
18,2017-05-03 18:05:00,494.0,486.3866736787757,1
19,2017-05-03 19:05:00,491.0,478.96950201747455,1
20,2017-05-03 20:05:00,493.0,482.4298722820784,1
21,2017-05-03 21:05:00,489.0,482.30669850800524,1
22,2017-05-03 22:05:00,489.0,479.3016306710367,1
23,2017-05-03 23:05:00,482.0,471.41894855968735,1
24,2017-05-04 00:05:00,473.0,468.39693407239236,1
25,2017-05-04 01:05:00,469.0,463.8651314538487,1
26,2017-05-04 02:05:00,469.0,467.98734078169946,1
27,2017-05-04 03:05:00,474.0,470.85647156877025,1
28,2017-05-04 04:05:00,475.0,468.14480300467767,1
29,2017-05-04 05:05:00,465.0,454.88124703014034,1
30,2017-05-04 06:05:00,465.0,451.42861087245933,1
31,2017-05-04 07:05:00,462.0,455.4197465787097,1
32,2017-05-04 08:05:00,464.0,456.4406124364083,1
33,2017-05-04 09:05:00,469.0,463.6020597924928,1
34,2017-05-04 10:05:00,462.0,462.22043500143917,1
35,2017-05-04 11:05:00,462.0,461.01304843096955,1
36,2017-05-04 12:05:00,465.0,459.3450891877687,1
37,2017-05-04 13:05:00,465.0,462.9473891752208,1
38,2017-05-04 14:05:00,464.0,458.80133492098605,1
39,2017-05-04 15:05:00,466.0,458.0375735872233,1
40,2017-05-04 16:05:00,463.0,450.59415129982716,1
41,2017-05-04 17:05:00,464.0,454.520894924628,1
42,2017-05-04 18:05:00,473.0,467.34435359659705,1
43,2017-05-04 19:05:00,468.0,460.5074279356699,1
44,2017-05-04 20:05:00,444.0,448.2544126471847,1
45,2017-05-04 21:05:00,431.0,430.3727625284482,1
46,2017-05-04 22:05:00,412.0,426.2000784509636,1
47,2017-05-04 23:05:00,404.0,405.29933857863796,1
48,2017-05-05 00:05:00,399.0,409.00141427907033,1
49,2017-05-05 01:05:00,417.0,420.36416615065735,1
50,2017-05-05 02:05:00,413.0,413.927741734005,1
51,2017-05-05 03:05:00,414.0,403.83962893114517,1
52,2017-05-05 04:05:00,412.0,404.869914962608,1
53,2017-05-05 05:05:00,409.0,412.39179944335933,1
54,2017-05-05 06:05:00,408.0,409.87180831386297,1
55,2017-05-05 07:05:00,409.0,418.5127781616824,1
56,2017-05-05 08:05:00,399.0,415.85301659666897,1
57,2017-05-05 09:05:00,397.0,415.3114935862421,1
58,2017-05-05 10:05:00,397.0,403.8897687555149,1
59,2017-05-05 11:05:00,388.0,393.6919950883107,1
60,2017-05-05 12:05:00,401.0,393.3607947145101,1
61,2017-05-05 13:05:00,417.0,405.7953160971739,1
62,2017-05-05 14:05:00,431.0,415.6288680678471,1
63,2017-05-05 15:05:00,440.0,429.6030633319232,1
64,2017-05-05 16:05:00,433.0,426.16461713115274,1
65,2017-05-05 17:05:00,432.0,426.2352116487456,1
66,2017-05-05 18:05:00,425.0,421.33063075415237,1
67,2017-05-05 19:05:00,415.0,400.28195249029795,1
68,2017-05-05 20:05:00,397.0,387.0629115411861,1
69,2017-05-05 21:05:00,392.0,392.2171207998244,1
70,2017-05-05 22:05:00,428.0,425.16068914869595,1
71,2017-05-05 23:05:00,443.0,446.6502908823488,1
72,2017-05-06 00:05:00,456.0,464.22426349217886,1
73,2017-05-06 01:05:00,464.0,472.0787385251024,1
74,2017-05-06 02:05:00,467.0,471.3991859130355,1
75,2017-05-06 03:05:00,469.0,473.14680627110005,1
76,2017-05-06 04:05:00,470.0,472.98562082418306,1
77,2017-05-06 05:05:00,469.0,465.2602177207366,1
78,2017-05-06 06:05:00,471.0,457.32135473944226,1
79,2017-05-06 07:05:00,470.0,460.59514751505253,1
80,2017-05-06 08:05:00,467.0,468.2227648482609,1
81,2017-05-06 09:05:00,467.0,470.1366365740809,1
82,2017-05-06 10:05:00,466.0,471.53127572922466,1
83,2017-05-06 11:05:00,458.0,468.7078414831789,1
84,2017-05-06 12:05:00,458.0,456.5721103803521,1
85,2017-05-06 13:05:00,447.0,436.1551580381307,1
86,2017-05-06 14:05:00,447.0,438.5513463183531,1
87,2017-05-06 15:05:00,440.0,438.1059278291207,1
88,2017-05-06 16:05:00,428.0,429.01425176354627,1
89,2017-05-06 17:05:00,410.0,416.9284576403973,1
90,2017-05-06 18:05:00,387.0,377.04905158098927,1
