timestamp,_automl_dummy_grain_col,predicted,P_Forecast_Total_Load,P_Forecast_Zonal_Load,Price,datetime_from,sample,MAE
2013-01-01 00:00:00,_automl_dummy_grain_col,64.09306528481937,16547,5246,55.26,2013-01-01,1,8.833065284819376
2013-01-01 01:00:00,_automl_dummy_grain_col,57.90763952367448,15822,5092,49.05,2013-01-01,2,8.857639523674486
2013-01-01 02:00:00,_automl_dummy_grain_col,52.70423474844289,15200,4907,49.36,2013-01-01,3,3.3442347484428936
2013-01-01 03:00:00,_automl_dummy_grain_col,51.001813640312335,14789,4744,47.32,2013-01-01,4,3.6818136403123347
2013-01-01 04:00:00,_automl_dummy_grain_col,50.97720963325722,14654,4637,48.64,2013-01-01,5,2.337209633257217
2013-01-01 05:00:00,_automl_dummy_grain_col,53.669353869378774,14910,4667,48.39,2013-01-01,6,5.279353869378774
2013-01-01 06:00:00,_automl_dummy_grain_col,59.68932710399158,15139,4754,53.25,2013-01-01,7,6.43932710399158
2013-01-01 07:00:00,_automl_dummy_grain_col,63.4358413962732,15186,4777,53.4,2013-01-01,8,10.035841396273199
2013-01-01 08:00:00,_automl_dummy_grain_col,65.10360050296619,15483,4876,56.55,2013-01-01,9,8.55360050296619
2013-01-01 09:00:00,_automl_dummy_grain_col,69.77178666488324,16235,5042,59.93,2013-01-01,10,9.841786664883237
2013-01-01 10:00:00,_automl_dummy_grain_col,71.99937539807095,17019,5262,61.54,2013-01-01,11,10.459375398070954
2013-01-01 11:00:00,_automl_dummy_grain_col,71.71895704145501,17566,5420,61.57,2013-01-01,12,10.148957041455013
2013-01-01 12:00:00,_automl_dummy_grain_col,70.01802356527277,17864,5515,60.13,2013-01-01,13,9.888023565272768
2013-01-01 13:00:00,_automl_dummy_grain_col,68.08962911693293,17980,5585,59.46,2013-01-01,14,8.629629116932925
2013-01-01 14:00:00,_automl_dummy_grain_col,66.14418964133053,17998,5630,59.16,2013-01-01,15,6.984189641330531
2013-01-01 15:00:00,_automl_dummy_grain_col,67.76350971977058,18119,5670,59.19,2013-01-01,16,8.573509719770584
2013-01-01 16:00:00,_automl_dummy_grain_col,74.25057098449969,18816,5793,71.76,2013-01-01,17,2.4905709844996835
2013-01-01 17:00:00,_automl_dummy_grain_col,89.09473571503668,20396,6086,103.72,2013-01-01,18,14.625264284963322
2013-01-01 18:00:00,_automl_dummy_grain_col,87.5968743490001,20568,6135,100.37,2013-01-01,19,12.773125650999901
2013-01-01 19:00:00,_automl_dummy_grain_col,84.10885105543855,20346,6093,91.18,2013-01-01,20,7.0711489445614575
2013-01-01 20:00:00,_automl_dummy_grain_col,81.18223750799238,19873,6013,85.02,2013-01-01,21,3.837762492007613
2013-01-01 21:00:00,_automl_dummy_grain_col,75.23160923117133,19119,5880,78.89,2013-01-01,22,3.658390768828667
2013-01-01 22:00:00,_automl_dummy_grain_col,69.6534076072189,18037,5638,66.91,2013-01-01,23,2.7434076072188986
2013-01-01 23:00:00,_automl_dummy_grain_col,62.981033970570614,16962,5343,50.28,2013-01-01,24,12.701033970570613
2013-01-02 00:00:00,_automl_dummy_grain_col,63.888450769851296,15978,5019,65.34,2013-01-02,1,1.4515492301487072
2013-01-02 01:00:00,_automl_dummy_grain_col,58.09655436700397,15312,4803,57.51,2013-01-02,2,0.5865543670039699
2013-01-02 02:00:00,_automl_dummy_grain_col,53.38171077811784,14944,4664,55.19,2013-01-02,3,1.8082892218821556
2013-01-02 03:00:00,_automl_dummy_grain_col,52.03258098349428,14804,4601,52.64,2013-01-02,4,0.6074190165057232
2013-01-02 04:00:00,_automl_dummy_grain_col,52.63897082888821,15066,4627,54.09,2013-01-02,5,1.4510291711117915
2013-01-02 05:00:00,_automl_dummy_grain_col,55.81321547669639,15677,4805,62.36,2013-01-02,6,6.546784523303607
2013-01-02 06:00:00,_automl_dummy_grain_col,64.22094710438998,17070,5218,93.93,2013-01-02,7,29.70905289561003
2013-01-02 07:00:00,_automl_dummy_grain_col,69.95799729243986,18276,5682,121.92,2013-01-02,8,51.962002707560146
