date_time,_automl_dummy_grain_col,predicted,holiday,temp,rain_1h,snow_1h,clouds_all,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Squall,Thunderstorm,traffic_volume,datetime_from,sample,MAE
2018-06-02 00:00:00,_automl_dummy_grain_col,1390.7983451493499,0,291.37,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1601.0,2018-06-02,1,210.20165485065013
2018-06-02 01:00:00,_automl_dummy_grain_col,841.197123950067,0,290.3,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,830.0,2018-06-02,2,11.197123950066953
2018-06-02 02:00:00,_automl_dummy_grain_col,653.6290216202118,0,292.22,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,346.0,2018-06-02,3,307.6290216202118
2018-06-02 03:00:00,_automl_dummy_grain_col,496.5240069347499,0,289.01,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,446.0,2018-06-02,4,50.52400693474988
2018-06-02 04:00:00,_automl_dummy_grain_col,542.8231667438631,0,289.08,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,424.0,2018-06-02,5,118.82316674386311
2018-06-02 05:00:00,_automl_dummy_grain_col,814.0518823325034,0,289.13,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,746.0,2018-06-02,6,68.0518823325034
2018-06-02 06:00:00,_automl_dummy_grain_col,1593.151524842403,0,288.54,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,1385.0,2018-06-02,7,208.15152484240298
2018-06-02 07:00:00,_automl_dummy_grain_col,2141.1912930420613,0,288.28,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,1928.0,2018-06-02,8,213.19129304206126
2018-06-02 08:00:00,_automl_dummy_grain_col,2942.0735386676806,0,287.94,0.0,0.0,90,0,0,0,0,0,1,0,0,0,0,0,2730.0,2018-06-02,9,212.07353866768062
2018-06-02 09:00:00,_automl_dummy_grain_col,3622.049625300871,0,288.14,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,3707.0,2018-06-02,10,84.95037469912904
2018-06-02 10:00:00,_automl_dummy_grain_col,4163.058828943348,0,288.74,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,3864.0,2018-06-02,11,299.0588289433481
2018-06-02 11:00:00,_automl_dummy_grain_col,4518.386945317971,0,289.0,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,4260.0,2018-06-02,12,258.38694531797137
2018-06-02 12:00:00,_automl_dummy_grain_col,4693.40795417184,0,288.82,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,4671.0,2018-06-02,13,22.407954171840174
2018-06-02 13:00:00,_automl_dummy_grain_col,4632.5312768033855,0,288.85,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,4741.0,2018-06-02,14,108.46872319661452
2018-06-02 14:00:00,_automl_dummy_grain_col,4625.251132693029,0,289.0,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,4896.0,2018-06-02,15,270.7488673069711
2018-06-02 15:00:00,_automl_dummy_grain_col,4628.387452988813,0,289.43,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,4509.0,2018-06-02,16,119.38745298881258
2018-06-02 16:00:00,_automl_dummy_grain_col,4614.77569974284,0,290.58,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,4560.0,2018-06-02,17,54.775699742839606
2018-06-02 17:00:00,_automl_dummy_grain_col,4529.738773054551,0,291.88,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,4221.0,2018-06-02,18,308.7387730545506
2018-06-02 18:00:00,_automl_dummy_grain_col,4343.369421194903,0,292.81,0.0,0.0,40,0,0,0,0,0,0,1,0,0,0,0,4013.0,2018-06-02,19,330.3694211949032
2018-06-02 19:00:00,_automl_dummy_grain_col,3687.7613090028585,0,293.22,0.0,0.0,75,0,0,0,0,0,1,0,0,0,0,0,3480.0,2018-06-02,20,207.76130900285852
2018-06-02 20:00:00,_automl_dummy_grain_col,3217.315593439814,0,292.28,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,3074.0,2018-06-02,21,143.31559343981417
2018-06-02 21:00:00,_automl_dummy_grain_col,3060.7992243226204,0,291.35,0.0,0.0,90,0,0,0,0,0,0,1,0,0,0,0,2905.0,2018-06-02,22,155.79922432262038
2018-06-02 22:00:00,_automl_dummy_grain_col,3070.034067225483,0,290.55,0.0,0.0,5,0,0,0,0,0,0,1,0,0,0,0,2808.0,2018-06-02,23,262.0340672254829
2018-06-02 23:00:00,_automl_dummy_grain_col,2280.5263356214514,0,289.88,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,2103.0,2018-06-02,24,177.52633562145138
2018-06-03 00:00:00,_automl_dummy_grain_col,1480.1526570945268,0,288.75,0.0,0.0,40,0,1,0,0,0,0,0,0,0,0,0,1516.0,2018-06-02,25,35.84734290547317
2018-06-03 01:00:00,_automl_dummy_grain_col,897.3555781459006,0,287.44,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,905.0,2018-06-02,26,7.644421854099392
2018-06-03 02:00:00,_automl_dummy_grain_col,592.3998746739811,0,287.01,0.0,0.0,75,0,1,0,0,0,0,0,0,0,0,0,647.0,2018-06-02,27,54.60012532601888
2018-06-03 03:00:00,_automl_dummy_grain_col,416.6021383762199,0,286.99,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,477.0,2018-06-02,28,60.3978616237801
2018-06-03 04:00:00,_automl_dummy_grain_col,383.3356554202579,0,287.28,0.0,0.0,40,0,1,0,0,0,0,0,0,0,0,0,419.0,2018-06-02,29,35.66434457974208
2018-06-03 05:00:00,_automl_dummy_grain_col,570.0849752573537,0,287.36,0.0,0.0,40,0,1,0,0,0,0,0,0,0,0,0,643.0,2018-06-02,30,72.91502474264632
2018-06-03 06:00:00,_automl_dummy_grain_col,1049.8318090070827,0,287.36,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,1103.0,2018-06-02,31,53.16819099291729
2018-06-03 07:00:00,_automl_dummy_grain_col,1297.392499191419,0,287.43,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,1519.0,2018-06-02,32,221.6075008085811
2018-06-03 08:00:00,_automl_dummy_grain_col,2028.58457203364,0,287.22,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,2380.0,2018-06-02,33,351.4154279663601
2018-06-03 09:00:00,_automl_dummy_grain_col,2849.993269151512,0,287.65,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,3350.0,2018-06-02,34,500.00673084848813
2018-06-03 10:00:00,_automl_dummy_grain_col,3640.452465510167,0,288.01,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,3820.0,2018-06-02,35,179.5475344898332
2018-06-03 11:00:00,_automl_dummy_grain_col,3965.1074351945185,0,288.35,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,4453.0,2018-06-02,36,487.89256480548147
2018-06-03 12:00:00,_automl_dummy_grain_col,4289.527111377108,0,288.58,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,4858.0,2018-06-02,37,568.4728886228922
2018-06-03 13:00:00,_automl_dummy_grain_col,4211.461924746205,0,289.08,0.0,0.0,90,0,1,0,0,0,0,0,0,0,0,0,4563.0,2018-06-02,38,351.5380752537949
2018-06-03 14:00:00,_automl_dummy_grain_col,4211.771579494106,0,289.65,0.0,0.0,75,0,1,0,0,0,0,0,0,0,0,0,4458.0,2018-06-02,39,246.22842050589406
2018-06-03 15:00:00,_automl_dummy_grain_col,4181.283535929524,0,291.01,0.0,0.0,75,0,1,0,0,0,0,0,0,0,0,0,4554.0,2018-06-02,40,372.7164640704759
2018-06-03 16:00:00,_automl_dummy_grain_col,4171.33507521169,0,292.43,0.0,0.0,40,0,1,0,0,0,0,0,0,0,0,0,4547.0,2018-06-02,41,375.6649247883097
2018-06-03 17:00:00,_automl_dummy_grain_col,4014.6134145110277,0,293.14,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,4262.0,2018-06-02,42,247.3865854889723
2018-06-03 18:00:00,_automl_dummy_grain_col,3833.9799801096974,0,294.0,0.0,0.0,20,0,1,0,0,0,0,0,0,0,0,0,3972.0,2018-06-02,43,138.0200198903026
2018-06-03 19:00:00,_automl_dummy_grain_col,3180.0195814781478,0,294.15,0.0,0.0,20,0,1,0,0,0,0,0,0,0,0,0,3527.0,2018-06-02,44,346.98041852185224
2018-06-03 20:00:00,_automl_dummy_grain_col,2847.7416350050844,0,293.55,0.0,0.0,20,0,1,0,0,0,0,0,0,0,0,0,3043.0,2018-06-02,45,195.2583649949156
2018-06-03 21:00:00,_automl_dummy_grain_col,2585.617292158305,0,292.29,0.0,0.0,5,1,0,0,0,0,0,0,0,0,0,0,2490.0,2018-06-02,46,95.61729215830519
2018-06-03 22:00:00,_automl_dummy_grain_col,1872.7616278982246,0,290.29,0.0,0.0,5,1,0,0,0,0,0,0,0,0,0,0,2051.0,2018-06-02,47,178.23837210177544
2018-06-03 23:00:00,_automl_dummy_grain_col,1350.6182095399106,0,288.48,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1166.0,2018-06-02,48,184.6182095399106
2018-06-04 00:00:00,_automl_dummy_grain_col,625.815079121864,0,286.69,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,667.0,2018-06-02,49,41.18492087813604
2018-06-04 01:00:00,_automl_dummy_grain_col,368.9721909433684,0,285.72,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,377.0,2018-06-02,50,8.027809056631611
2018-06-04 02:00:00,_automl_dummy_grain_col,316.5172126960996,0,285.77,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,285.0,2018-06-02,51,31.51721269609959
2018-06-04 03:00:00,_automl_dummy_grain_col,348.13036930004915,0,285.65,0.0,0.0,40,0,1,0,0,0,0,0,0,0,0,0,375.0,2018-06-02,52,26.869630699950847
