date_time;quality;predicted;sample;date_time_from
2017-05-03 00:05:00;283;351.289032;1;2017-05-02 23:05:00
2017-05-03 01:05:00;248;349.7572021;1;2017-05-03 00:05:00
2017-05-03 02:05:00;253;346.1253662;1;2017-05-03 01:05:00
2017-05-03 03:05:00;263;343.7402954;1;2017-05-03 02:05:00
2017-05-03 04:05:00;279;343.5876465;1;2017-05-03 03:05:00
2017-05-03 05:05:00;327;339.5812378;1;2017-05-03 04:05:00
2017-05-03 06:05:00;380;361.438446;1;2017-05-03 05:05:00
2017-05-03 07:05:00;395;387.0042419;1;2017-05-03 06:05:00
2017-05-03 08:05:00;415;400.4385376;1;2017-05-03 07:05:00
2017-05-03 09:05:00;437;390.6863708;1;2017-05-03 08:05:00
2017-05-03 10:05:00;448;393.8547058;1;2017-05-03 09:05:00
2017-05-03 11:05:00;455;404.2989807;1;2017-05-03 10:05:00
2017-05-03 12:05:00;461;406.5255432;1;2017-05-03 11:05:00
2017-05-03 13:05:00;472;405.7246094;1;2017-05-03 12:05:00
2017-05-03 14:05:00;478;406.4352417;1;2017-05-03 13:05:00
2017-05-03 15:05:00;490;406.6937866;1;2017-05-03 14:05:00
2017-05-03 16:05:00;489;410.2605591;1;2017-05-03 15:05:00
2017-05-03 17:05:00;489;419.8982239;1;2017-05-03 16:05:00
2017-05-03 18:05:00;494;421.7594299;1;2017-05-03 17:05:00
2017-05-03 19:05:00;491;429.4936218;1;2017-05-03 18:05:00
2017-05-03 20:05:00;493;436.0597534;1;2017-05-03 19:05:00
2017-05-03 21:05:00;489;443.891449;1;2017-05-03 20:05:00
2017-05-03 22:05:00;489;449.6476135;1;2017-05-03 21:05:00
2017-05-03 23:05:00;482;447.3135986;1;2017-05-03 22:05:00
2017-05-04 00:05:00;473;452.4555664;1;2017-05-03 23:05:00
2017-05-04 01:05:00;469;454.5890503;1;2017-05-04 00:05:00
2017-05-04 02:05:00;469;468.4094238;1;2017-05-04 01:05:00
2017-05-04 03:05:00;474;477.0001831;1;2017-05-04 02:05:00
2017-05-04 04:05:00;475;473.0582886;1;2017-05-04 03:05:00
2017-05-04 05:05:00;465;467.2897034;1;2017-05-04 04:05:00
2017-05-04 06:05:00;465;472.1931458;1;2017-05-04 05:05:00
2017-05-04 07:05:00;462;472.6694336;1;2017-05-04 06:05:00
2017-05-04 08:05:00;464;478.1436157;1;2017-05-04 07:05:00
2017-05-04 09:05:00;469;473.6216431;1;2017-05-04 08:05:00
2017-05-04 10:05:00;462;477.7622681;1;2017-05-04 09:05:00
2017-05-04 11:05:00;462;478.7745361;1;2017-05-04 10:05:00
2017-05-04 12:05:00;465;476.6438293;1;2017-05-04 11:05:00
2017-05-04 13:05:00;465;477.6721497;1;2017-05-04 12:05:00
2017-05-04 14:05:00;464;470.2961426;1;2017-05-04 13:05:00
2017-05-04 15:05:00;466;461.6896667;1;2017-05-04 14:05:00
2017-05-04 16:05:00;463;484.1846008;1;2017-05-04 15:05:00
2017-05-04 17:05:00;464;505.8179932;1;2017-05-04 16:05:00
2017-05-04 18:05:00;473;456.9441833;1;2017-05-04 17:05:00
2017-05-04 19:05:00;468;457.6465759;1;2017-05-04 18:05:00
2017-05-04 20:05:00;444;446.6259766;1;2017-05-04 19:05:00
2017-05-04 21:05:00;431;437.5032043;1;2017-05-04 20:05:00
2017-05-04 22:05:00;412;430.5653992;1;2017-05-04 21:05:00
2017-05-04 23:05:00;404;426.4412231;1;2017-05-04 22:05:00
2017-05-05 00:05:00;399;419.627533;1;2017-05-04 23:05:00
2017-05-05 01:05:00;417;408.6459961;1;2017-05-05 00:05:00
2017-05-05 02:05:00;413;400.9300232;1;2017-05-05 01:05:00
2017-05-05 03:05:00;414;399.1313782;1;2017-05-05 02:05:00
2017-05-05 04:05:00;412;387.4898987;1;2017-05-05 03:05:00
2017-05-05 05:05:00;409;397.9638367;1;2017-05-05 04:05:00
2017-05-05 06:05:00;408;403.8508911;1;2017-05-05 05:05:00
2017-05-05 07:05:00;409;411.7151184;1;2017-05-05 06:05:00
2017-05-05 08:05:00;399;421.0990601;1;2017-05-05 07:05:00
2017-05-05 09:05:00;397;419.3989868;1;2017-05-05 08:05:00
2017-05-05 10:05:00;397;401.2248535;1;2017-05-05 09:05:00
2017-05-05 11:05:00;388;385.9841919;1;2017-05-05 10:05:00
2017-05-05 12:05:00;401;388.4025879;1;2017-05-05 11:05:00
2017-05-05 13:05:00;417;396.9996643;1;2017-05-05 12:05:00
2017-05-05 14:05:00;431;425.0568237;1;2017-05-05 13:05:00
2017-05-05 15:05:00;440;437.2319336;1;2017-05-05 14:05:00
2017-05-05 16:05:00;433;446.0742188;1;2017-05-05 15:05:00
2017-05-05 17:05:00;432;445.4726563;1;2017-05-05 16:05:00
2017-05-05 18:05:00;425;443.4476929;1;2017-05-05 17:05:00
2017-05-05 19:05:00;415;421.3122559;1;2017-05-05 18:05:00
2017-05-05 20:05:00;397;415.135376;1;2017-05-05 19:05:00
2017-05-05 21:05:00;392;406.8470154;1;2017-05-05 20:05:00
2017-05-05 22:05:00;428;416.3836365;1;2017-05-05 21:05:00
2017-05-05 23:05:00;443;412.2887268;1;2017-05-05 22:05:00
2017-05-06 00:05:00;456;437.4641418;1;2017-05-05 23:05:00
2017-05-06 01:05:00;464;439.34021;1;2017-05-06 00:05:00
2017-05-06 02:05:00;467;440.6418457;1;2017-05-06 01:05:00
2017-05-06 03:05:00;469;445.4858093;1;2017-05-06 02:05:00
2017-05-06 04:05:00;470;446.7895813;1;2017-05-06 03:05:00
2017-05-06 05:05:00;469;441.8382874;1;2017-05-06 04:05:00
2017-05-06 06:05:00;471;439.6306763;1;2017-05-06 05:05:00
2017-05-06 07:05:00;470;434.3478394;1;2017-05-06 06:05:00
2017-05-06 08:05:00;467;437.7072144;1;2017-05-06 07:05:00
2017-05-06 09:05:00;467;437.4552002;1;2017-05-06 08:05:00
2017-05-06 10:05:00;466;426.8804626;1;2017-05-06 09:05:00
2017-05-06 11:05:00;458;432.5252075;1;2017-05-06 10:05:00
2017-05-06 12:05:00;458;434.407135;1;2017-05-06 11:05:00
2017-05-06 13:05:00;447;439.4680786;1;2017-05-06 12:05:00
2017-05-06 14:05:00;447;443.399292;1;2017-05-06 13:05:00
2017-05-06 15:05:00;440;441.7807617;1;2017-05-06 14:05:00
2017-05-06 16:05:00;428;437.9806213;1;2017-05-06 15:05:00
2017-05-06 17:05:00;410;423.9428101;1;2017-05-06 16:05:00
2017-05-06 18:05:00;387;410.8569031;1;2017-05-06 17:05:00
2017-05-06 19:05:00;362;377.6051331;1;2017-05-06 18:05:00
2017-05-06 20:05:00;356;364.6669617;1;2017-05-06 19:05:00
2017-05-06 21:05:00;349;365.3773804;1;2017-05-06 20:05:00
2017-05-06 22:05:00;358;372.7571411;1;2017-05-06 21:05:00
2017-05-06 23:05:00;314;366.6661682;1;2017-05-06 22:05:00
2017-05-07 00:05:00;314;370.694519;1;2017-05-06 23:05:00
2017-05-07 01:05:00;313;357.0651855;1;2017-05-07 00:05:00
2017-05-07 02:05:00;325;363.0949402;1;2017-05-07 01:05:00
2017-05-07 03:05:00;319;366.9792175;1;2017-05-07 02:05:00
2017-05-07 04:05:00;308;362.8845215;1;2017-05-07 03:05:00
2017-05-07 05:05:00;300;360.4450989;1;2017-05-07 04:05:00
2017-05-07 06:05:00;304;359.5401917;1;2017-05-07 05:05:00
2017-05-07 07:05:00;338;357.3995056;1;2017-05-07 06:05:00
2017-05-07 08:05:00;343;353.5300293;1;2017-05-07 07:05:00
2017-05-07 09:05:00;295;354.4572449;1;2017-05-07 08:05:00
