timestamp,predicted,datetime_from,sample,target
2018-06-02 00:00:00,1175.81604,2018-06-01 23:00,1,1601.0
2018-06-02 01:00:00,730.2635498,2018-06-01 23:00,2,830.0
2018-06-02 02:00:00,493.9924927,2018-06-01 23:00,3,346.0
2018-06-02 03:00:00,395.8094177,2018-06-01 23:00,4,446.0
2018-06-02 04:00:00,383.3945923,2018-06-01 23:00,5,424.0
2018-06-02 05:00:00,893.9120483,2018-06-01 23:00,6,746.0
2018-06-02 06:00:00,1602.416992,2018-06-01 23:00,7,1385.0
2018-06-02 07:00:00,2293.039795,2018-06-01 23:00,8,1928.0
2018-06-02 08:00:00,3100.063965,2018-06-01 23:00,9,2730.0
2018-06-02 09:00:00,3373.291504,2018-06-01 23:00,10,3707.0
2018-06-02 10:00:00,3634.135254,2018-06-01 23:00,11,3864.0
2018-06-02 11:00:00,3953.659912,2018-06-01 23:00,12,4260.0
2018-06-02 12:00:00,4202.84375,2018-06-01 23:00,13,4671.0
2018-06-02 13:00:00,4151.526367,2018-06-01 23:00,14,4741.0
2018-06-02 14:00:00,4239.024902,2018-06-01 23:00,15,4896.0
2018-06-02 15:00:00,4207.240234,2018-06-01 23:00,16,4509.0
2018-06-02 16:00:00,4179.339844,2018-06-01 23:00,17,4560.0
2018-06-02 17:00:00,3773.936768,2018-06-01 23:00,18,4221.0
2018-06-02 18:00:00,3757.575195,2018-06-01 23:00,19,4013.0
2018-06-02 19:00:00,3107.440674,2018-06-01 23:00,20,3480.0
2018-06-02 20:00:00,2848.899902,2018-06-01 23:00,21,3074.0
2018-06-02 21:00:00,2749.352539,2018-06-01 23:00,22,2905.0
2018-06-02 22:00:00,2696.322266,2018-06-01 23:00,23,2808.0
2018-06-02 23:00:00,2047.219727,2018-06-01 23:00,24,2103.0
2018-06-03 00:00:00,1312.982788,2018-06-01 23:00,25,1516.0
2018-06-03 01:00:00,835.0936279,2018-06-01 23:00,26,905.0
2018-06-03 02:00:00,635.0568237,2018-06-01 23:00,27,647.0
2018-06-03 03:00:00,475.8995056,2018-06-01 23:00,28,477.0
2018-06-03 04:00:00,311.6447144,2018-06-01 23:00,29,419.0
2018-06-03 05:00:00,201.38797,2018-06-01 23:00,30,643.0
2018-06-03 06:00:00,524.8370361,2018-06-01 23:00,31,1103.0
2018-06-03 07:00:00,716.4931641,2018-06-01 23:00,32,1519.0
2018-06-03 08:00:00,1213.880249,2018-06-01 23:00,33,2380.0
2018-06-03 09:00:00,2055.439941,2018-06-01 23:00,34,3350.0
2018-06-03 10:00:00,2959.462402,2018-06-01 23:00,35,3820.0
2018-06-03 11:00:00,3546.273193,2018-06-01 23:00,36,4453.0
2018-06-03 12:00:00,3813.800049,2018-06-01 23:00,37,4858.0
2018-06-03 13:00:00,3681.146484,2018-06-01 23:00,38,4563.0
2018-06-03 14:00:00,3751.875488,2018-06-01 23:00,39,4458.0
2018-06-03 15:00:00,3819.283203,2018-06-01 23:00,40,4554.0
2018-06-03 16:00:00,3871.380127,2018-06-01 23:00,41,4547.0
2018-06-03 17:00:00,3537.307617,2018-06-01 23:00,42,4262.0
2018-06-03 18:00:00,3239.659912,2018-06-01 23:00,43,3972.0
2018-06-03 19:00:00,2897.754395,2018-06-01 23:00,44,3527.0
2018-06-03 20:00:00,2711.555908,2018-06-01 23:00,45,3043.0
2018-06-03 21:00:00,2385.703613,2018-06-01 23:00,46,2490.0
2018-06-03 22:00:00,1897.622803,2018-06-01 23:00,47,2051.0
2018-06-03 23:00:00,1287.41748,2018-06-01 23:00,48,1166.0
2018-06-04 00:00:00,689.1288452,2018-06-01 23:00,49,667.0
2018-06-04 01:00:00,405.8320313,2018-06-01 23:00,50,377.0
2018-06-04 02:00:00,327.2102356,2018-06-01 23:00,51,285.0
2018-06-04 03:00:00,300.4958496,2018-06-01 23:00,52,375.0
2018-06-04 04:00:00,634.7821655,2018-06-01 23:00,53,928.0
2018-06-04 05:00:00,1949.596191,2018-06-01 23:00,54,3021.0
2018-06-04 06:00:00,4064.366699,2018-06-01 23:00,55,5765.0
2018-06-04 07:00:00,4475.836426,2018-06-01 23:00,56,6081.0
2018-06-04 08:00:00,4033.778076,2018-06-01 23:00,57,5546.0
2018-06-04 09:00:00,3770.853516,2018-06-01 23:00,58,5108.0
2018-06-04 10:00:00,3570.708984,2018-06-01 23:00,59,4334.0
2018-06-04 11:00:00,3876.577148,2018-06-01 23:00,60,4489.0
2018-06-04 12:00:00,4032.976807,2018-06-01 23:00,61,4741.0
2018-06-04 13:00:00,4105.590332,2018-06-01 23:00,62,4873.0
2018-06-04 14:00:00,4658.068359,2018-06-01 23:00,63,5170.0
2018-06-04 15:00:00,5201.689941,2018-06-01 23:00,64,5797.0
2018-06-04 16:00:00,5425.126953,2018-06-01 23:00,65,7024.0
2018-06-04 17:00:00,4851.556152,2018-06-01 23:00,66,6234.0
2018-06-04 18:00:00,3970.416504,2018-06-01 23:00,67,4374.0
2018-06-04 19:00:00,3164.421631,2018-06-01 23:00,68,3279.0
2018-06-04 20:00:00,2740.097656,2018-06-01 23:00,69,2941.0
2018-06-04 21:00:00,2356.5,2018-06-01 23:00,70,2776.0
2018-06-04 22:00:00,1802.115723,2018-06-01 23:00,71,1871.0
2018-06-04 23:00:00,1022.710388,2018-06-01 23:00,72,1115.0
2018-06-05 00:00:00,487.0654907,2018-06-01 23:00,73,635.0
2018-06-05 01:00:00,292.6579895,2018-06-01 23:00,74,399.0
2018-06-05 02:00:00,227.4815979,2018-06-01 23:00,75,297.0
2018-06-05 03:00:00,291.926239,2018-06-01 23:00,76,355.0
2018-06-05 04:00:00,837.3259888,2018-06-01 23:00,77,952.0
2018-06-05 05:00:00,2900.850342,2018-06-01 23:00,78,3078.0
2018-06-05 06:00:00,5581.331543,2018-06-01 23:00,79,5970.0
2018-06-05 07:00:00,6119.031738,2018-06-01 23:00,80,5972.0
2018-06-05 08:00:00,5627.391602,2018-06-01 23:00,81,5645.0
2018-06-05 09:00:00,4892.406738,2018-06-01 23:00,82,5046.0
2018-06-05 10:00:00,4319.597168,2018-06-01 23:00,83,4592.0
2018-06-05 11:00:00,4344.454102,2018-06-01 23:00,84,4778.0
2018-06-05 12:00:00,4624.39502,2018-06-01 23:00,85,5256.0
2018-06-05 13:00:00,4835.536133,2018-06-01 23:00,86,5285.0
2018-06-05 14:00:00,5257.994629,2018-06-01 23:00,87,5340.0
2018-06-05 15:00:00,5969.631836,2018-06-01 23:00,88,6102.0
2018-06-05 16:00:00,6286.141602,2018-06-01 23:00,89,7037.0
2018-06-05 17:00:00,5659.691895,2018-06-01 23:00,90,6431.0
2018-06-05 18:00:00,4384.08252,2018-06-01 23:00,91,4582.0
2018-06-05 19:00:00,3401.8396,2018-06-01 23:00,92,3510.0
2018-06-05 20:00:00,2841.235107,2018-06-01 23:00,93,3012.0
2018-06-05 21:00:00,2412.845215,2018-06-01 23:00,94,2754.0
2018-06-05 22:00:00,1804.383423,2018-06-01 23:00,95,2212.0
2018-06-05 23:00:00,1076.056152,2018-06-01 23:00,96,1227.0
2018-06-06 00:00:00,534.6539307,2018-06-01 23:00,97,663.0
2018-06-06 01:00:00,341.5323486,2018-06-01 23:00,98,415.0
2018-06-06 02:00:00,244.3220825,2018-06-01 23:00,99,318.0
2018-06-06 03:00:00,297.2023926,2018-06-01 23:00,100,362.0
2018-06-06 04:00:00,765.5540771,2018-06-01 23:00,101,934.0
2018-06-06 05:00:00,2743.892822,2018-06-01 23:00,102,2980.0
2018-06-06 06:00:00,5528.688965,2018-06-01 23:00,103,5195.0
2018-06-06 07:00:00,6097.091309,2018-06-01 23:00,104,6083.0
2018-06-06 08:00:00,5463.24707,2018-06-01 23:00,105,5301.0
2018-06-06 09:00:00,4824.383301,2018-06-01 23:00,106,5324.0
2018-06-06 10:00:00,4507.37207,2018-06-01 23:00,107,4621.0
2018-06-06 11:00:00,4593.918945,2018-06-01 23:00,108,4915.0
2018-06-06 12:00:00,4669.904785,2018-06-01 23:00,109,5098.0
2018-06-06 13:00:00,4870.499023,2018-06-01 23:00,110,4799.0
2018-06-06 14:00:00,5281.725586,2018-06-01 23:00,111,5226.0
2018-06-06 15:00:00,5992.118652,2018-06-01 23:00,112,6264.0
2018-06-06 16:00:00,6178.967773,2018-06-01 23:00,113,6925.0
2018-06-06 17:00:00,5776.750488,2018-06-01 23:00,114,6637.0
2018-06-06 18:00:00,4378.083496,2018-06-01 23:00,115,5055.0
2018-06-06 19:00:00,3445.67749,2018-06-01 23:00,116,3648.0
2018-06-06 20:00:00,2970.878906,2018-06-01 23:00,117,3157.0
2018-06-06 21:00:00,2597.185303,2018-06-01 23:00,118,2723.0
2018-06-06 22:00:00,1759.136963,2018-06-01 23:00,119,2224.0
2018-06-06 23:00:00,1114.29541,2018-06-01 23:00,120,1303.0
2018-06-07 00:00:00,550.2606812,2018-06-01 23:00,121,685.0
2018-06-07 01:00:00,328.0967712,2018-06-01 23:00,122,439.0
2018-06-07 02:00:00,237.8037109,2018-06-01 23:00,123,328.0
2018-06-07 03:00:00,284.0467834,2018-06-01 23:00,124,380.0
2018-06-07 04:00:00,854.0422974,2018-06-01 23:00,125,977.0
2018-06-07 05:00:00,2902.86499,2018-06-01 23:00,126,3018.0
2018-06-07 06:00:00,5585.651855,2018-06-01 23:00,127,5885.0
2018-06-07 07:00:00,6243.632813,2018-06-01 23:00,128,6097.0
2018-06-07 08:00:00,5707.988281,2018-06-01 23:00,129,5871.0
2018-06-07 09:00:00,5074.254883,2018-06-01 23:00,130,5136.0
2018-06-07 10:00:00,4557.992188,2018-06-01 23:00,131,4691.0
2018-06-07 11:00:00,4703.558105,2018-06-01 23:00,132,5168.0
2018-06-07 12:00:00,4956.31543,2018-06-01 23:00,133,5220.0
2018-06-07 13:00:00,5189.992188,2018-06-01 23:00,134,5094.0
2018-06-07 14:00:00,5664.751953,2018-06-01 23:00,135,5399.0
2018-06-07 15:00:00,6079.530762,2018-06-01 23:00,136,6202.0
2018-06-07 16:00:00,6184.82666,2018-06-01 23:00,137,6858.0
2018-06-07 17:00:00,5924.215332,2018-06-01 23:00,138,6286.0
2018-06-07 18:00:00,4757.462402,2018-06-01 23:00,139,4858.0
2018-06-07 19:00:00,3701.815186,2018-06-01 23:00,140,3715.0
2018-06-07 20:00:00,3018.79126,2018-06-01 23:00,141,3222.0
2018-06-07 21:00:00,2739.511719,2018-06-01 23:00,142,2912.0
2018-06-07 22:00:00,1968.867432,2018-06-01 23:00,143,2215.0
2018-06-07 23:00:00,1302.216919,2018-06-01 23:00,144,1398.0
2018-06-08 00:00:00,623.4487915,2018-06-01 23:00,145,800.0
2018-06-08 01:00:00,392.3429871,2018-06-01 23:00,146,480.0
2018-06-08 02:00:00,282.1626282,2018-06-01 23:00,147,354.0
2018-06-08 03:00:00,366.6051636,2018-06-01 23:00,148,364.0
2018-06-08 04:00:00,695.6387939,2018-06-01 23:00,149,884.0
2018-06-08 05:00:00,2582.668213,2018-06-01 23:00,150,2793.0
2018-06-08 06:00:00,4810.039551,2018-06-01 23:00,151,5554.0
2018-06-08 07:00:00,5640.944824,2018-06-01 23:00,152,6584.0
2018-06-08 08:00:00,5218.950684,2018-06-01 23:00,153,5442.0
2018-06-08 09:00:00,4648.485352,2018-06-01 23:00,154,5011.0
2018-06-08 10:00:00,4518.942383,2018-06-01 23:00,155,4681.0
2018-06-08 11:00:00,4648.411133,2018-06-01 23:00,156,4996.0
2018-06-08 12:00:00,4975.946777,2018-06-01 23:00,157,5415.0
2018-06-08 13:00:00,5197.160645,2018-06-01 23:00,158,5563.0
2018-06-08 14:00:00,5668.199707,2018-06-01 23:00,159,5936.0
2018-06-08 15:00:00,6183.865723,2018-06-01 23:00,160,6290.0
2018-06-08 16:00:00,6372.969238,2018-06-01 23:00,161,6727.0
2018-06-08 17:00:00,5393.650391,2018-06-01 23:00,162,5865.0
2018-06-08 18:00:00,4441.736816,2018-06-01 23:00,163,4959.0
2018-06-08 19:00:00,3608.845947,2018-06-01 23:00,164,3792.0
2018-06-08 20:00:00,3182.272705,2018-06-01 23:00,165,3251.0
2018-06-08 21:00:00,2893.428467,2018-06-01 23:00,166,3050.0
2018-06-08 22:00:00,2453.312988,2018-06-01 23:00,167,3360.0
2018-06-08 23:00:00,1747.76416,2018-06-01 23:00,168,2903.0
2018-06-09 00:00:00,1257.314697,2018-06-08 23:00,1,1511.0
2018-06-09 01:00:00,794.1577148,2018-06-08 23:00,2,1110.0
2018-06-09 02:00:00,544.1550293,2018-06-08 23:00,3,866.0
